product_category_name_english,order_year,order_month,order_day,review_score
agro_industry_and_commerce,2017,1,23,4.0
agro_industry_and_commerce,2017,1,31,5.0
agro_industry_and_commerce,2017,2,5,3.0
agro_industry_and_commerce,2017,2,8,3.0
agro_industry_and_commerce,2017,2,12,4.0
agro_industry_and_commerce,2017,2,13,3.0
agro_industry_and_commerce,2017,2,16,4.0
agro_industry_and_commerce,2017,2,18,5.0
agro_industry_and_commerce,2017,2,21,5.0
agro_industry_and_commerce,2017,3,17,1.0
agro_industry_and_commerce,2017,3,20,3.0
agro_industry_and_commerce,2017,5,6,5.0
agro_industry_and_commerce,2017,5,8,5.0
agro_industry_and_commerce,2017,5,20,5.0
agro_industry_and_commerce,2017,5,28,4.0
agro_industry_and_commerce,2017,6,26,1.0
agro_industry_and_commerce,2017,7,14,5.0
agro_industry_and_commerce,2017,8,30,5.0
agro_industry_and_commerce,2017,9,5,4.0
agro_industry_and_commerce,2017,9,13,1.0
agro_industry_and_commerce,2017,9,23,4.0
agro_industry_and_commerce,2017,10,5,5.0
agro_industry_and_commerce,2017,10,10,5.0
agro_industry_and_commerce,2017,10,17,5.0
agro_industry_and_commerce,2017,10,23,5.0
agro_industry_and_commerce,2017,10,28,1.0
agro_industry_and_commerce,2017,11,6,5.0
agro_industry_and_commerce,2017,11,12,3.0
agro_industry_and_commerce,2017,11,14,3.0
agro_industry_and_commerce,2017,11,18,5.0
agro_industry_and_commerce,2017,11,20,2.0
agro_industry_and_commerce,2017,11,22,4.0
agro_industry_and_commerce,2017,11,23,5.0
agro_industry_and_commerce,2017,11,24,1.4285714285714286
agro_industry_and_commerce,2017,11,28,1.0
agro_industry_and_commerce,2017,11,29,4.0
agro_industry_and_commerce,2017,12,1,4.0
agro_industry_and_commerce,2017,12,4,5.0
agro_industry_and_commerce,2017,12,6,5.0
agro_industry_and_commerce,2017,12,8,3.0
agro_industry_and_commerce,2017,12,10,4.0
agro_industry_and_commerce,2017,12,20,5.0
agro_industry_and_commerce,2017,12,22,5.0
agro_industry_and_commerce,2017,12,28,5.0
agro_industry_and_commerce,2017,12,29,5.0
agro_industry_and_commerce,2018,1,3,5.0
agro_industry_and_commerce,2018,1,4,2.0
agro_industry_and_commerce,2018,1,6,5.0
agro_industry_and_commerce,2018,1,7,1.0
agro_industry_and_commerce,2018,1,10,5.0
agro_industry_and_commerce,2018,1,12,5.0
agro_industry_and_commerce,2018,1,13,5.0
agro_industry_and_commerce,2018,1,16,5.0
agro_industry_and_commerce,2018,1,17,5.0
agro_industry_and_commerce,2018,1,18,5.0
agro_industry_and_commerce,2018,1,24,5.0
agro_industry_and_commerce,2018,1,25,5.0
agro_industry_and_commerce,2018,1,30,4.0
agro_industry_and_commerce,2018,1,31,4.0
agro_industry_and_commerce,2018,2,1,5.0
agro_industry_and_commerce,2018,2,2,5.0
agro_industry_and_commerce,2018,2,4,5.0
agro_industry_and_commerce,2018,2,5,5.0
agro_industry_and_commerce,2018,2,7,1.0
agro_industry_and_commerce,2018,2,8,4.0
agro_industry_and_commerce,2018,2,9,4.0
agro_industry_and_commerce,2018,2,14,5.0
agro_industry_and_commerce,2018,2,16,3.0
agro_industry_and_commerce,2018,2,22,5.0
agro_industry_and_commerce,2018,2,23,4.5
agro_industry_and_commerce,2018,2,25,1.0
agro_industry_and_commerce,2018,2,26,2.0
agro_industry_and_commerce,2018,2,27,5.0
agro_industry_and_commerce,2018,2,28,4.6
agro_industry_and_commerce,2018,3,1,4.0
agro_industry_and_commerce,2018,3,2,5.0
agro_industry_and_commerce,2018,3,5,5.0
agro_industry_and_commerce,2018,3,6,4.0
agro_industry_and_commerce,2018,3,7,3.0
agro_industry_and_commerce,2018,3,12,5.0
agro_industry_and_commerce,2018,3,13,4.0
agro_industry_and_commerce,2018,3,14,5.0
agro_industry_and_commerce,2018,3,16,5.0
agro_industry_and_commerce,2018,3,18,1.0
agro_industry_and_commerce,2018,3,19,5.0
agro_industry_and_commerce,2018,3,20,3.5
agro_industry_and_commerce,2018,3,22,3.5
agro_industry_and_commerce,2018,3,26,5.0
agro_industry_and_commerce,2018,3,28,5.0
agro_industry_and_commerce,2018,3,29,5.0
agro_industry_and_commerce,2018,4,3,5.0
agro_industry_and_commerce,2018,4,4,5.0
agro_industry_and_commerce,2018,4,5,5.0
agro_industry_and_commerce,2018,4,12,2.0
agro_industry_and_commerce,2018,4,13,1.0
agro_industry_and_commerce,2018,4,17,5.0
agro_industry_and_commerce,2018,4,18,1.0
agro_industry_and_commerce,2018,4,19,4.0
agro_industry_and_commerce,2018,4,24,5.0
agro_industry_and_commerce,2018,4,25,5.0
agro_industry_and_commerce,2018,4,27,5.0
agro_industry_and_commerce,2018,4,28,5.0
agro_industry_and_commerce,2018,5,6,4.0
agro_industry_and_commerce,2018,5,7,5.0
agro_industry_and_commerce,2018,5,8,4.0
agro_industry_and_commerce,2018,5,9,5.0
agro_industry_and_commerce,2018,5,10,5.0
agro_industry_and_commerce,2018,5,17,4.0
agro_industry_and_commerce,2018,5,30,4.0
agro_industry_and_commerce,2018,6,5,5.0
agro_industry_and_commerce,2018,6,7,4.0
agro_industry_and_commerce,2018,6,11,3.0
agro_industry_and_commerce,2018,6,12,4.0
agro_industry_and_commerce,2018,6,22,5.0
agro_industry_and_commerce,2018,6,24,5.0
agro_industry_and_commerce,2018,6,25,5.0
agro_industry_and_commerce,2018,6,27,1.0
agro_industry_and_commerce,2018,6,28,5.0
agro_industry_and_commerce,2018,7,4,3.5
agro_industry_and_commerce,2018,7,16,5.0
agro_industry_and_commerce,2018,7,17,5.0
agro_industry_and_commerce,2018,7,18,3.5
agro_industry_and_commerce,2018,7,19,4.5
agro_industry_and_commerce,2018,7,20,5.0
agro_industry_and_commerce,2018,7,23,5.0
agro_industry_and_commerce,2018,7,24,4.666666666666667
agro_industry_and_commerce,2018,7,25,4.5
agro_industry_and_commerce,2018,7,28,3.5
agro_industry_and_commerce,2018,7,29,4.0
agro_industry_and_commerce,2018,7,30,4.0
agro_industry_and_commerce,2018,7,31,5.0
agro_industry_and_commerce,2018,8,2,3.2
agro_industry_and_commerce,2018,8,4,4.0
agro_industry_and_commerce,2018,8,5,5.0
agro_industry_and_commerce,2018,8,6,4.5
agro_industry_and_commerce,2018,8,10,4.0
agro_industry_and_commerce,2018,8,18,1.0
agro_industry_and_commerce,2018,8,20,4.0
agro_industry_and_commerce,2018,8,24,4.0
agro_industry_and_commerce,2018,8,25,5.0
agro_industry_and_commerce,2018,8,26,4.0
air_conditioning,2016,10,4,4.0
air_conditioning,2016,10,5,5.0
air_conditioning,2017,1,23,5.0
air_conditioning,2017,1,27,1.0
air_conditioning,2017,1,28,3.0
air_conditioning,2017,2,10,5.0
air_conditioning,2017,2,17,3.5
air_conditioning,2017,2,18,1.0
air_conditioning,2017,2,19,2.0
air_conditioning,2017,2,20,4.0
air_conditioning,2017,2,22,4.0
air_conditioning,2017,3,2,4.5
air_conditioning,2017,3,7,5.0
air_conditioning,2017,3,9,5.0
air_conditioning,2017,3,10,5.0
air_conditioning,2017,3,11,5.0
air_conditioning,2017,3,12,4.0
air_conditioning,2017,3,13,4.0
air_conditioning,2017,3,14,4.0
air_conditioning,2017,3,15,5.0
air_conditioning,2017,3,17,5.0
air_conditioning,2017,3,21,3.0
air_conditioning,2017,3,22,5.0
air_conditioning,2017,3,23,5.0
air_conditioning,2017,3,28,5.0
air_conditioning,2017,3,31,1.0
air_conditioning,2017,4,1,5.0
air_conditioning,2017,4,2,5.0
air_conditioning,2017,4,8,4.5
air_conditioning,2017,4,9,5.0
air_conditioning,2017,4,10,4.5
air_conditioning,2017,4,15,5.0
air_conditioning,2017,4,18,5.0
air_conditioning,2017,4,19,4.0
air_conditioning,2017,4,24,5.0
air_conditioning,2017,4,27,5.0
air_conditioning,2017,5,3,5.0
air_conditioning,2017,5,4,4.0
air_conditioning,2017,5,8,5.0
air_conditioning,2017,5,11,5.0
air_conditioning,2017,5,18,5.0
air_conditioning,2017,5,31,5.0
air_conditioning,2017,6,9,4.0
air_conditioning,2017,6,10,3.0
air_conditioning,2017,6,11,5.0
air_conditioning,2017,6,14,5.0
air_conditioning,2017,6,19,5.0
air_conditioning,2017,6,20,2.0
air_conditioning,2017,6,25,5.0
air_conditioning,2017,6,28,5.0
air_conditioning,2017,6,29,1.0
air_conditioning,2017,7,4,1.0
air_conditioning,2017,7,12,1.0
air_conditioning,2017,7,18,5.0
air_conditioning,2017,7,31,5.0
air_conditioning,2017,8,1,4.0
air_conditioning,2017,8,6,5.0
air_conditioning,2017,8,8,5.0
air_conditioning,2017,8,10,5.0
air_conditioning,2017,8,12,4.0
air_conditioning,2017,8,18,5.0
air_conditioning,2017,8,19,4.0
air_conditioning,2017,8,21,5.0
air_conditioning,2017,8,28,5.0
air_conditioning,2017,8,31,4.666666666666667
air_conditioning,2017,9,6,4.0
air_conditioning,2017,9,7,5.0
air_conditioning,2017,9,9,4.0
air_conditioning,2017,9,12,3.0
air_conditioning,2017,9,14,5.0
air_conditioning,2017,9,26,5.0
air_conditioning,2017,9,28,5.0
air_conditioning,2017,10,6,3.5
air_conditioning,2017,10,12,1.0
air_conditioning,2017,10,15,5.0
air_conditioning,2017,10,18,5.0
air_conditioning,2017,10,21,3.5
air_conditioning,2017,11,1,4.0
air_conditioning,2017,11,2,5.0
air_conditioning,2017,11,9,4.0
air_conditioning,2017,11,10,5.0
air_conditioning,2017,11,14,5.0
air_conditioning,2017,11,15,2.0
air_conditioning,2017,11,19,3.6666666666666665
air_conditioning,2017,11,22,1.0
air_conditioning,2017,11,23,3.0
air_conditioning,2017,11,26,5.0
air_conditioning,2017,11,28,5.0
air_conditioning,2017,11,29,5.0
air_conditioning,2017,12,1,5.0
air_conditioning,2017,12,9,4.0
air_conditioning,2018,1,2,3.0
air_conditioning,2018,1,10,2.5
air_conditioning,2018,1,14,4.0
air_conditioning,2018,1,16,4.333333333333333
air_conditioning,2018,1,17,4.0
air_conditioning,2018,1,20,5.0
air_conditioning,2018,1,21,5.0
air_conditioning,2018,1,22,3.4
air_conditioning,2018,1,23,5.0
air_conditioning,2018,1,26,4.0
air_conditioning,2018,1,27,5.0
air_conditioning,2018,1,30,5.0
air_conditioning,2018,1,31,4.666666666666667
air_conditioning,2018,2,3,4.0
air_conditioning,2018,2,9,4.0
air_conditioning,2018,2,14,5.0
air_conditioning,2018,2,15,4.0
air_conditioning,2018,2,17,5.0
air_conditioning,2018,2,20,1.0
air_conditioning,2018,2,21,5.0
air_conditioning,2018,2,22,4.0
air_conditioning,2018,2,24,5.0
air_conditioning,2018,2,28,5.0
air_conditioning,2018,3,2,4.0
air_conditioning,2018,3,4,5.0
air_conditioning,2018,3,7,5.0
air_conditioning,2018,3,8,3.0
air_conditioning,2018,3,13,5.0
air_conditioning,2018,3,14,3.0
air_conditioning,2018,3,15,3.0
air_conditioning,2018,3,16,5.0
air_conditioning,2018,3,17,5.0
air_conditioning,2018,3,18,5.0
air_conditioning,2018,3,20,5.0
air_conditioning,2018,3,21,3.3333333333333335
air_conditioning,2018,3,22,3.0
air_conditioning,2018,3,23,3.0
air_conditioning,2018,3,24,4.0
air_conditioning,2018,3,25,4.0
air_conditioning,2018,3,26,4.0
air_conditioning,2018,3,27,5.0
air_conditioning,2018,3,30,1.0
air_conditioning,2018,4,3,5.0
air_conditioning,2018,4,4,5.0
air_conditioning,2018,4,5,5.0
air_conditioning,2018,4,6,5.0
air_conditioning,2018,4,10,5.0
air_conditioning,2018,4,13,5.0
air_conditioning,2018,4,15,4.5
air_conditioning,2018,4,16,1.0
air_conditioning,2018,4,18,5.0
air_conditioning,2018,4,20,5.0
air_conditioning,2018,4,23,3.0
air_conditioning,2018,4,24,5.0
air_conditioning,2018,4,26,4.666666666666667
air_conditioning,2018,4,27,4.666666666666667
air_conditioning,2018,4,30,5.0
air_conditioning,2018,5,2,5.0
air_conditioning,2018,5,7,5.0
air_conditioning,2018,5,8,5.0
air_conditioning,2018,5,11,4.0
air_conditioning,2018,5,13,1.0
air_conditioning,2018,5,14,3.0
air_conditioning,2018,5,15,5.0
air_conditioning,2018,5,16,5.0
air_conditioning,2018,5,20,4.0
air_conditioning,2018,5,23,5.0
air_conditioning,2018,6,5,1.0
air_conditioning,2018,6,9,5.0
air_conditioning,2018,6,12,5.0
air_conditioning,2018,6,15,5.0
air_conditioning,2018,6,17,2.0
air_conditioning,2018,6,21,5.0
air_conditioning,2018,6,30,5.0
air_conditioning,2018,7,1,5.0
air_conditioning,2018,7,3,5.0
air_conditioning,2018,7,4,5.0
air_conditioning,2018,7,13,5.0
air_conditioning,2018,7,17,5.0
air_conditioning,2018,7,18,5.0
air_conditioning,2018,7,22,2.0
air_conditioning,2018,7,23,5.0
air_conditioning,2018,7,24,3.0
air_conditioning,2018,7,25,5.0
air_conditioning,2018,7,26,5.0
air_conditioning,2018,7,27,1.0
air_conditioning,2018,7,30,5.0
air_conditioning,2018,7,31,1.0
air_conditioning,2018,8,1,5.0
air_conditioning,2018,8,2,4.333333333333333
air_conditioning,2018,8,3,2.0
air_conditioning,2018,8,5,3.5
air_conditioning,2018,8,7,5.0
air_conditioning,2018,8,8,5.0
air_conditioning,2018,8,10,2.0
air_conditioning,2018,8,17,3.5
air_conditioning,2018,8,21,4.666666666666667
air_conditioning,2018,8,22,4.0
air_conditioning,2018,8,25,5.0
art,2017,3,1,5.0
art,2017,3,16,4.0
art,2017,3,21,5.0
art,2017,3,23,5.0
art,2017,4,30,4.0
art,2017,5,3,5.0
art,2017,5,15,5.0
art,2017,5,18,5.0
art,2017,5,24,5.0
art,2017,5,28,5.0
art,2017,5,31,5.0
art,2017,6,8,3.0
art,2017,6,10,5.0
art,2017,6,12,5.0
art,2017,7,3,5.0
art,2017,7,4,4.0
art,2017,7,16,4.0
art,2017,8,8,3.0
art,2017,8,10,5.0
art,2017,8,21,5.0
art,2017,8,29,4.0
art,2017,9,4,1.0
art,2017,9,19,4.0
art,2017,9,30,5.0
art,2017,10,5,5.0
art,2017,10,8,4.0
art,2017,10,9,5.0
art,2017,11,27,5.0
art,2017,12,4,5.0
art,2017,12,16,5.0
art,2017,12,24,5.0
art,2018,1,4,4.0
art,2018,1,6,3.0
art,2018,1,7,5.0
art,2018,1,8,1.0
art,2018,1,11,4.0
art,2018,1,15,5.0
art,2018,1,16,4.5
art,2018,1,17,4.0
art,2018,1,18,1.75
art,2018,1,24,1.0
art,2018,1,28,4.0
art,2018,1,30,5.0
art,2018,1,31,5.0
art,2018,2,5,5.0
art,2018,2,6,1.0
art,2018,2,9,3.5
art,2018,2,10,4.0
art,2018,2,11,4.0
art,2018,2,12,5.0
art,2018,2,19,5.0
art,2018,2,21,2.0
art,2018,2,24,5.0
art,2018,2,28,5.0
art,2018,3,6,2.0
art,2018,3,18,5.0
art,2018,3,21,3.0
art,2018,3,23,5.0
art,2018,3,24,1.0
art,2018,3,25,4.0
art,2018,3,31,5.0
art,2018,4,3,5.0
art,2018,4,4,5.0
art,2018,4,8,4.5
art,2018,4,9,5.0
art,2018,4,12,5.0
art,2018,4,15,5.0
art,2018,4,17,5.0
art,2018,4,18,5.0
art,2018,4,19,4.0
art,2018,4,20,5.0
art,2018,4,23,4.0
art,2018,4,25,4.5
art,2018,4,27,5.0
art,2018,4,28,4.333333333333333
art,2018,4,29,2.0
art,2018,4,30,4.5
art,2018,5,1,4.0
art,2018,5,2,5.0
art,2018,5,3,4.0
art,2018,5,4,4.0
art,2018,5,5,2.0
art,2018,5,6,5.0
art,2018,5,7,5.0
art,2018,5,8,5.0
art,2018,5,9,5.0
art,2018,5,10,4.5
art,2018,5,11,5.0
art,2018,5,12,1.0
art,2018,5,13,4.0
art,2018,5,14,4.75
art,2018,5,15,1.0
art,2018,5,16,4.0
art,2018,5,18,1.0
art,2018,5,20,5.0
art,2018,5,21,5.0
