customer_state,order_year,order_month,order_day,payment_value
AC,2017,1,21,723.15
AC,2017,2,10,45.25
AC,2017,2,18,139.53
AC,2017,2,24,412.62
AC,2017,3,2,81.88
AC,2017,3,5,448.3
AC,2017,4,5,280.09
AC,2017,4,9,279.13
AC,2017,4,18,618.6
AC,2017,4,21,69.34
AC,2017,4,23,104.35
AC,2017,5,2,861.26
AC,2017,5,3,43.34
AC,2017,5,13,50.14
AC,2017,5,14,1076.47
AC,2017,5,25,77.2
AC,2017,5,27,55.28
AC,2017,5,29,218.95
AC,2017,6,2,167.36
AC,2017,6,12,216.26
AC,2017,6,19,75.28
AC,2017,6,23,51.37
AC,2017,7,6,361.27
AC,2017,7,12,147.59
AC,2017,7,17,82.42
AC,2017,7,21,62.92
AC,2017,7,24,140.2
AC,2017,8,3,225.42
AC,2017,8,4,130.22
AC,2017,8,16,88.27
AC,2017,8,22,321.92
AC,2017,9,1,248.71
AC,2017,9,3,1251.7
AC,2017,9,12,100.91
AC,2017,9,20,186.83
AC,2017,9,24,241.08
AC,2017,10,1,187.96
AC,2017,10,3,91.47999999999999
AC,2017,10,12,132.82
AC,2017,10,13,312.02
AC,2017,10,18,139.52
AC,2017,11,6,87.38
AC,2017,11,14,298.3
AC,2017,11,18,343.08
AC,2017,11,24,45.37
AC,2017,11,27,171.03
AC,2017,12,7,130.85
AC,2017,12,14,426.08
AC,2017,12,22,446.18
AC,2017,12,23,316.19
AC,2017,12,25,90.28
AC,2018,1,9,162.02
AC,2018,1,11,184.42000000000002
AC,2018,1,14,141.32
AC,2018,1,16,548.93
AC,2018,1,31,121.2
AC,2018,2,11,39.03
AC,2018,2,17,153.79
AC,2018,2,19,106.4
AC,2018,3,1,58.92
AC,2018,3,4,105.75
AC,2018,4,10,102.57
AC,2018,4,12,56.41
AC,2018,4,20,281.6
AC,2018,4,26,147.59
AC,2018,5,3,595.49
AC,2018,5,28,905.93
AC,2018,6,16,240.53
AC,2018,6,25,158.27
AC,2018,6,28,198.46
AC,2018,7,25,213.33
AC,2018,7,26,964.74
AC,2018,7,29,591.88
AC,2018,8,9,94.74
AC,2018,8,10,220.39
AC,2018,8,21,289.39
AL,2016,10,7,76.6
AL,2017,1,25,159.94
AL,2017,1,31,294.42
AL,2017,2,1,539.85
AL,2017,2,3,1362.35
AL,2017,2,7,142.33
AL,2017,2,8,54.74
AL,2017,2,11,161.71
AL,2017,2,12,80.77
AL,2017,2,15,320.05
AL,2017,2,21,126.71
AL,2017,2,25,120.97
AL,2017,2,27,58.39
AL,2017,3,1,220.35
AL,2017,3,14,230.32
AL,2017,3,16,70.3
AL,2017,3,22,220.74
AL,2017,3,24,126.18
AL,2017,3,25,227.57
AL,2017,3,27,157.7
AL,2017,3,28,68.74
AL,2017,3,30,99.6
AL,2017,4,1,35.8
AL,2017,4,6,853.39
AL,2017,4,7,898.6999999999999
AL,2017,4,8,1200.6399999999999
AL,2017,4,10,103.63
AL,2017,4,11,231.99
AL,2017,4,13,307.67
AL,2017,4,15,32.39
AL,2017,4,17,398.33
AL,2017,4,18,246.79
AL,2017,4,21,319.3
AL,2017,4,22,40.79
AL,2017,4,23,126.86
AL,2017,4,24,150.35
AL,2017,4,25,94.11
AL,2017,4,28,63.79
AL,2017,4,30,65.4
AL,2017,5,1,158.19
AL,2017,5,2,381.51
AL,2017,5,3,111.07
AL,2017,5,4,233.67000000000002
AL,2017,5,6,112.97
AL,2017,5,8,562.9100000000001
AL,2017,5,13,103.28
AL,2017,5,15,806.6700000000001
AL,2017,5,16,248.70999999999998
AL,2017,5,17,1257.96
AL,2017,5,20,91.19
AL,2017,5,21,114.26
AL,2017,5,24,657.87
AL,2017,5,27,90.28
AL,2017,5,28,353.7
AL,2017,5,30,167.81
AL,2017,5,31,182.37
AL,2017,6,6,50.15
AL,2017,6,7,203.43
AL,2017,6,8,262.71
AL,2017,6,9,129.22
AL,2017,6,18,136.14
AL,2017,6,20,143.1
AL,2017,6,28,125.33
AL,2017,6,30,225.94
AL,2017,7,4,74.05
AL,2017,7,9,145.2
AL,2017,7,10,204.53
AL,2017,7,14,134.01
AL,2017,7,15,266.92
AL,2017,7,16,261.47
AL,2017,7,17,121.06
AL,2017,7,18,152.25
AL,2017,7,20,420.06
AL,2017,7,22,109.87
AL,2017,7,26,300.36
AL,2017,7,28,496.42999999999995
AL,2017,7,31,169.6
AL,2017,8,1,97.87
AL,2017,8,5,826.9100000000001
AL,2017,8,10,315.76
AL,2017,8,13,2269.98
AL,2017,8,15,388.03
AL,2017,8,19,853.22
AL,2017,8,20,1650.56
AL,2017,8,21,409.88
AL,2017,8,26,97.87
AL,2017,8,27,697.0
